Gene ID	Control1	Control2	Control3	shRNA1	shRNA2	shRNA3	shRNA1_FC	shRNA2_FC	shRNA_3_FC																												
40237	0	0.0440964	0.0364334	0	0	0	0	0	0																												
40237	10.3353	9.89699	12.051	10.0881	11.4134	9.97855	10.7792	10.7876	11.4167																												
40238	10.7602	11.3223	11.6938	12.4958	13.6282	13.0502	11.2903	12.242	10.3963																												
40238	23.9297	27.7974	26.7885	25.742	25.2564	24.3126	23.7332	24.0333	25.5213																												
40239	0.479421	0.713876	0.544481	0.886975	0.546006	0.598556	0.423585	0.698057	0.601301																												
40240	6.36303	5.68991	6.95251	7.00102	6.61664	5.97414	6.38852	5.64	5.88622																												
40241	17.3154	17.2801	17.471	16.4924	17.4828	19.5115	16.8217	16.6958	17.8455																												
40242	77.5081	49.1601	49.5856	50.4886	49.1357	49.5037	50.5363	52.2827	48.9685																												
40243	14.3825	14.3926	14.2999	16.0808	15.2473	14.5047	14.5113	14.0792	14.6197																												
40244	10.0836	12.7228	10.9889	9.99089	10.5899	11.1801	10.3446	11.2944	10.2668																												
40245	6.48259	6.01817	6.80024	6.16692	6.31787	5.65046	5.24697	6.89487	6.48551																												
40246	0.171701	0.265585	0.125427	0.116961	0.0475721	0.0859061	0.0711209	0.130548	0.0491604																												
40247	1.83917	1.8007	1.33131	1.67113	1.63392	1.73953	1.77693	1.87389	2.31774																												
40421	0.230351	0.373009	0.308228	0.299083	0.40481	0.350067	0.276827	1.29299	0.594126																												
40422	19.8206	19.1175	19.2174	21.2251	24.3616	22.8871	21.3885	22.8939	22.4751																												
40423	120.447	127.112	114.475	113.346	106.223	116.519	111.867	123.491	109.699																												
40424	59.0766	97.4265	69.1818	47.7427	52.5891	69.6796	53.7615	73.2171	66.1324																												
40425	182.294	156.055	153.919	209.15	182.64	209.102	191.583	165.728	160.364																												
40426	20.8975	25.059	27.2453	20.2016	22.2999	21.7434	21.0596	26.2575	25.0153																												
40427	147.403	173.422	155.677	134.695	140.089	145.562	129.726	153.062	146.263																												
40428	31.9766	35.1171	33.3365	30.5466	29.8736	31.0904	29.4716	33.5676	29.4195																												
40429	29.2958	31.4436	41.6645	28.7141	27.8722	29.8388	27.41	30.9503	31.624																												
40430	1.61021	2.34675	2.3337	1.86449	2.53679	2.42111	1.64897	2.17663	2.04847																												
40431	13.5665	12.5821	12.3824	13.3302	13.7383	13.5504	13.7103	13.7662	12.6742																												
40432	0	0	0	0	0	0	0	0	0																												
40434	0	0	0	0	0	0	0	0	0																												
40435	77.68	84.9595	85.3983	88.3007	89.829	92.6135	78.2949	89.5009	85.0287																												
0610005C13Rik	0	0	0	0	0	0	0	0	0																												
0610007P14Rik	24.775	25.3872	25.8	25.6326	25.3081	29.6993	24.1014	24.6679	25.8295																												
0610009B22Rik	20.0094	17.1566	18.9678	16.4346	20.0396	17.5726	18.0457	14.7028	17.4171																												
0610009L18Rik	2.84119	3.20819	3.29596	3.08166	3.11066	2.22424	2.72116	2.54998	2.6626																												
0610009O20Rik	9.92447	11.0531	11.4633	9.41681	10.4881	10.9219	8.77833	9.25335	9.73735																												
0610010B08Rik	0.717082	2.34795	0.75049	0.792084	0.84491	0.687187	0.548459	0.843021	1.12849																												
0610010B08Rik	2.52491	0.653142	2.13425	2.39097	2.36323	2.23511	2.383	2.43611	2.46868																												
0610010F05Rik	9.23871	10.234	10.1002	9.88355	8.99054	9.91561	9.03985	10.198	9.35936																												
0610010K14Rik	14.8898	15.1866	14.4633	15.4446	15.0059	17.013	17.6994	14.9399	13.4375																												
0610011F06Rik	11.1085	9.79132	12.7029	12.667	11.5038	11.1369	11.9972	12.2049	11.0224																												
0610012G03Rik	14.5053	13.075	14.2306	12.8124	14.9029	13.6554	12.831	13.9692	14.2444																												
0610030E20Rik	4.62163	3.60142	3.28877	3.89498	3.78068	3.98999	4.17461	3.85375	4.04961																												
0610031J06Rik	12.6599	14.2088	14.0943	13.2805	13.8005	14.2006	14.2472	13.6177	12.7191																												
0610031O16Rik	0	0	0	0	0	0	0	0	0																												
0610037L13Rik	11.4003	12.0958	9.89074	12.0958	11.1285	13.2255	11.7452	10.143	12.4864																												
0610038B21Rik	0	0	0	0	0	0	0	0	0																												
0610039K10Rik	0	0	0	0	0	0	0	0	0																												
0610040B10Rik	0.474802	1.78115	1.47357	1.78268	1.43162	2.95521	1.16404	0.820715	1.95137																												
0610040F04Rik	0	0	0	0	0	0	0	0	0																												
0610040J01Rik	1.81126	1.40694	1.9868	2.22799	2.1769	2.1134	1.64844	2.29804	1.70863																												
0610043K17Rik	0.37968	0.0974359	0.241709	0.289564	0.233827	0.557301	0.439874	0.247325	0.213486																												
1010001N08Rik	0	0	0	0	0	0	0	0	0.095396																												
1100001G20Rik	0	0	0	0	0	0	0	0	0																												
1110001J03Rik	28.3824	29.3613	29.0959	24.0561	29.9519	34.5967	27.1104	29.0285	28.279																												
1110002L01Rik	0	0	0	0	0	0	0	0	0																												
1110004E09Rik	21.964	20.7345	23.9279	22.1181	23.9692	24.1755	22.5687	23.0612	22.4668																												
1110004F10Rik	46.5872	52.8131	50.1894	49.7927	51.6376	54.2866	47.7074	49.6046	48.6916																												
1110006O24Rik	0.283666	0.364518	0.241072	0.503436	0.52383	0.166969	0.329709	0.432035	0.15971																												
1110007C09Rik	1.93888	3.16244	3.01203	2.2365	2.85314	3.38586	2.30149	3.49244	3.16267																												
1110008F13Rik	36.3833	36.7141	34.8005	34.4701	36.4317	37.6041	36.2682	35.3732	31.3753																												
1110008L16Rik	1.39691	1.49789	1.52884	1.6204	1.43815	1.70329	1.47382	1.59242	1.67011																												
1110008P14Rik	62.7286	95.8702	64.9706	59.4774	60.1675	66.7465	50.2664	82.7239	54.9654																												
1110012L19Rik	5.4118	5.0561	4.70611	5.71526	6.47354	7.28699	6.18236	5.61331	6.26302																												
1110015O18Rik	0.123875	0.127665	0.184609	0.0625341	0.15238	0.0366126	0.20268	0.135225	0.244644																												
1110017D15Rik	1.58429	1.5214	2.09471	0.912771	1.22105	1.80521	1.14042	1.87091	0.524015																												
1110019D14Rik	0.98543	1.1138	1.38053	0.770331	1.38165	0.826712	0.921225	0.777239	0.789187																												
1110020A21Rik	0.762015	0.592235	0.316422	0.439888	0.50898	0.438529	0.461964	0.540234	0.602776																												
1110025L11Rik	0	0	0	0	0	0	0	0	0																												
1110028F11Rik	0	0	0.0141665	0	0	0.0196826	0	0	0.0187746																												
1110028F18Rik	0	0	0	0	0	0	0	0	0																												
1110032A03Rik	7.74646	9.03803	10.5441	7.38114	8.94862	8.63661	8.20221	8.88269	8.92167																												
1110032F04Rik	5.51301	5.41568	5.99563	4.49914	4.84985	4.10273	3.80328	6.45739	4.66473																												
1110034G24Rik	3.76423	4.24687	4.25536	4.52201	4.04507	5.33176	3.70066	4.5053	3.88152																												
1110036E04Rik	0	0	0	0	0	0	0	0	0																												
1110037F02Rik	7.30242	6.10512	6.38163	7.08997	6.95408	6.84593	7.19763	6.59772	6.82103																												
1110038B12Rik	9.11612	6.21154	9.1927	10.9668	9.90338	9.60294	10.4341	8.66394	8.96988																												
1110038F14Rik	9.87095	11.3925	11.3296	12.5363	13.7089	12.5183	12.1229	11.212	11.0787																												
1110046J04Rik	0	0	0	0	0	0	0	0	0																												
1110051M20Rik	31.239	31.7534	33.6638	31.8187	30.4312	33.6245	30.3941	30.3548	30.8999																												
