Feature	WT1	WT2	WT3	KO1	KO2	KO3
Xkr4-003	138.878	153.871	220.976	199.533	198.889	124.403
Xkr4-002	95.826	110.626	153.894	129.231	142.316	88.412
Xkr4-001	186.096	218.236	233.801	215.041	236.898	165.87
Gm1992-001	5.555	5.028	7.892	7.237	9.723	3.13
Rp1-201	2.778	0	0.987	0	0	1.565
Sox17-201	52.774	57.325	65.109	64.099	63.644	86.065
Sox17-202	45.83	42.239	51.298	56.862	50.385	71.199
Mrpl15-002	337.473	371.102	395.587	380.457	297.007	374.773
Mrpl15-001	337.473	371.102	395.587	380.457	297.007	374.773
Mrpl15-003	331.918	368.084	392.627	375.287	294.355	371.643
Mrpl15-006	319.419	356.016	384.735	361.847	284.632	356.777
Mrpl15-004	127.767	166.945	158.827	169.551	120.217	146.31
Mrpl15-005	58.329	74.421	73.001	87.877	62.76	75.111
Lypla1-002	505.515	538.047	492.264	527.263	533.906	557.856
Lypla1-001	473.573	501.842	463.655	502.451	506.503	531.254
Lypla1-005	834.655	850.818	803.998	880.84	909.584	903.679
Lypla1-009	229.148	279.583	225.909	293.613	255.461	298.097
Lypla1-007	88.882	143.814	122.326	160.247	138.78	186.213
Lypla1-008	262.479	308.748	242.679	319.459	276.676	321.569
Lypla1-003	123.601	173.985	147.975	194.364	166.183	219.856
Lypla1-006	113.88	160.911	139.097	178.856	152.923	198.731
Lypla1-004	134.711	144.82	125.286	150.942	132.592	153.352
Tcea1-001	1572.095	1688.562	1704.674	1605.568	1617.628	1607.845
Tcea1-002	1526.265	1653.363	1667.186	1552.842	1562.823	1553.859
Gm6104-201	56.94	44.251	47.352	59.963	62.76	49.292
Rgs20-002	322.196	387.193	345.275	332.899	400.429	312.963
Rgs20-001	340.25	410.324	365.005	350.475	433.135	333.305
Rgs20-005	227.759	284.612	251.558	224.345	291.703	200.296
Rgs20-007	226.371	270.532	227.882	215.041	274.024	186.995
Rgs20-004	198.595	248.407	209.138	195.398	261.649	175.259
Rgs20-006	76.383	117.666	86.812	82.708	106.958	71.981
Gm16041-001	43.052	72.41	50.312	48.591	60.993	43.032
Rgs20-003	1.389	0	1.973	0	0	0.782
Atp6v1h-201	1988.728	1961.106	1948.339	1733.765	1681.272	1891.859
Oprk1-001	27.776	18.103	25.649	13.44	14.143	25.819
Oprk1-002	5.555	3.017	6.906	5.169	2.652	7.042
Oprk1-003	16.665	6.034	11.838	8.271	6.188	13.301
Oprk1-004	12.499	2.011	3.946	5.169	2.652	7.824
Npbwr1-201	47.218	51.29	39.46	41.354	36.242	39.12
Rb1cc1-009	136.1	126.718	121.34	143.705	134.36	121.273
Rb1cc1-014	148.599	138.786	132.191	161.28	151.155	135.356
4732440D04Rik-001	20.832	23.131	17.757	27.914	30.054	21.125
4732440D04Rik-201	2.778	0	4.933	3.102	2.652	3.13
Rb1cc1-001	1445.716	1669.454	1338.682	1542.503	1574.314	1523.345
Rb1cc1-002	11.11	7.04	10.852	13.44	10.607	18.778
Rb1cc1-008	12.499	11.063	10.852	15.508	10.607	23.472
Rb1cc1-011	361.082	426.415	343.302	430.081	411.921	432.671
Rb1cc1-003	1405.442	1604.084	1283.438	1497.014	1516.858	1460.753
Rb1cc1-004	170.82	182.031	134.164	201.601	173.254	199.514
Rb1cc1-012	830.488	990.61	776.376	891.178	900.745	819.962
Rb1cc1-015	70.828	78.444	64.123	75.471	68.948	83.717
Rb1cc1-016	301.365	349.982	286.085	326.696	367.723	276.189
Rb1cc1-017	127.767	155.883	97.664	130.265	172.37	105.625
Rb1cc1-010	90.27	116.661	89.772	96.148	106.074	85.282
Rb1cc1-005	443.02	512.905	415.317	424.912	419.876	414.675
Rb1cc1-006	190.262	254.441	163.759	178.856	188.281	179.171
Rb1cc1-007	483.294	467.648	419.263	435.251	456.118	472.573
Fam150a-201	2.778	3.017	1.973	4.135	8.839	0.782
St18-004	540.234	545.087	582.036	568.617	497.664	586.022
St18-005	540.234	545.087	582.036	568.617	497.664	586.022
St18-001	506.903	504.859	539.616	535.534	466.725	551.596
St18-006	16.665	26.148	18.744	23.779	12.375	25.819
St18-007	23.609	36.205	27.622	33.083	22.983	41.468
St18-002	345.805	378.141	396.573	409.404	354.464	413.111
St18-003	313.863	349.982	366.978	383.558	326.177	373.99
St18-010	15.277	26.148	18.744	23.779	11.491	25.819
St18-009	33.331	54.308	42.42	49.625	38.01	53.986
St18-008	43.052	66.376	52.285	64.099	47.733	62.593
St18-201	502.737	502.848	537.643	534.5	464.958	546.12
St18-011	26.387	27.154	36.501	28.948	33.59	35.991
St18-012	48.607	71.404	69.055	64.099	65.412	67.287
St18-013	105.547	98.558	109.502	115.791	100.77	100.148
St18-015	106.936	99.564	105.556	127.163	86.627	111.884
St18-014	104.158	102.581	112.461	116.825	103.422	120.491
Pcmtd1-201	2167.88	2193.421	2161.423	2094.579	2023.361	1923.155
Gm9826-201	65.272	78.444	63.136	73.403	48.617	53.986
Sntg1-004	783.27	693.93	698.443	708.187	786.715	716.684
Sntg1-001	802.713	712.032	719.159	726.796	815.002	741.721
Sntg1-005	731.885	660.742	682.659	689.577	756.661	699.471
Sntg1-006	122.212	112.638	119.367	114.757	110.494	135.356
Sntg1-007	102.769	98.558	100.623	98.216	92.815	108.754
Sntg1-201	326.362	304.726	310.748	311.189	328.829	327.046
Sntg1-003	438.853	400.267	381.776	419.743	489.708	395.115
Sntg1-002	369.415	316.794	310.748	336.001	392.474	319.222
Sntg1-008	266.645	208.179	215.057	215.041	255.461	209.685
Rrs1-201	174.986	164.934	159.813	170.585	156.459	159.611
