Gene	CC3	CC5	CC6	CC7	CC8	FC3	FC5	FC6	FC7	FC8	RT3	RT5	RT6	RT7	RT8
ENSMUSG00000000001	2034	2232	1253	2024	1510	994	1703	1796	1502	2145	1600	1734	1834	1982	1316
ENSMUSG00000000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	81	93	77	91	85	106	81	84	70	95	121	92	102	102	60
ENSMUSG00000000031	4	16	4	9	8	12	11	15	4	2	20	2	8	7	8
ENSMUSG00000000037	52	59	28	52	36	12	40	34	41	56	26	44	46	40	45
ENSMUSG00000000049	15	32	15	18	14	49	10	18	11	24	21	22	17	11	9
ENSMUSG00000000056	3125	3256	2175	3283	2553	1638	2276	2900	2223	3179	2504	3045	3106	3441	1940
ENSMUSG00000000058	1412	1324	819	1243	668	446	821	815	786	1646	817	945	1031	1170	990
ENSMUSG00000000078	1793	1986	1231	1944	1052	803	1296	1423	1177	1690	1450	1528	1694	1821	1071
ENSMUSG00000000085	2937	3369	2109	3059	2491	2398	2146	2433	2182	3149	3046	2756	2610	3166	1908
ENSMUSG00000000088	3227	4138	2683	3188	2944	6065	2463	2938	2499	3614	5334	3437	3232	3952	2291
ENSMUSG00000000093	213	202	136	184	141	241	135	137	117	206	231	176	149	262	126
ENSMUSG00000000094	18	12	6	28	13	10	16	12	5	21	12	9	11	10	9
ENSMUSG00000000103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120	142	163	90	113	81	112	142	89	95	131	146	113	116	161	85
ENSMUSG00000000125	128	132	79	118	118	131	104	129	107	133	168	127	100	115	103
ENSMUSG00000000126	534	582	401	330	456	380	453	432	419	457	647	494	357	583	261
ENSMUSG00000000127	843	964	571	913	690	541	673	766	644	833	722	832	818	835	518
ENSMUSG00000000131	6173	6595	4009	6372	4956	4573	4438	4725	4547	6092	5224	5418	5199	6381	3706
ENSMUSG00000000134	2467	2800	1772	2573	2212	2063	1931	2038	1942	2586	2476	2476	2281	2814	1624
ENSMUSG00000000142	1486	1637	1043	1559	1219	849	1188	1208	1116	1579	1143	1507	1333	1634	1007
ENSMUSG00000000148	1502	1657	1102	1550	1224	1097	1179	1333	1288	1699	1543	1432	1377	1795	1069
ENSMUSG00000000149	8286	8262	5650	8273	6815	8621	6039	6696	5645	8223	8952	7404	7212	8787	5315
ENSMUSG00000000154	12	38	26	21	13	66	35	16	11	22	47	15	13	21	8
ENSMUSG00000000157	1	0	1	0	1	1	2	1	1	4	1	1	0	2	1
ENSMUSG00000000159	17	19	11	26	15	26	14	15	14	30	24	10	13	27	18
ENSMUSG00000000167	128	129	78	100	88	117	92	92	82	108	120	94	81	114	73
ENSMUSG00000000168	6752	6728	4330	6546	5297	4610	4537	5541	4704	6959	5722	5552	5649	6590	4225
ENSMUSG00000000171	4611	5317	3521	4599	3664	4912	3491	3840	3352	4672	5790	4202	4431	5219	2774
ENSMUSG00000000182	30	42	14	32	13	6	13	14	11	9	20	9	16	14	15
ENSMUSG00000000183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000184	5090	5146	3541	5589	5101	3456	4187	5230	4487	5895	3966	5788	5487	5384	3400
ENSMUSG00000000194	3534	3917	2551	3649	3090	3059	2664	3130	2629	3425	3255	3416	3254	3759	2079
ENSMUSG00000000197	6281	6380	3830	6156	4440	2003	4445	5063	4526	6217	3527	5031	5359	5759	3542
ENSMUSG00000000202	1048	1328	819	1126	937	2059	880	855	841	1174	1708	1006	975	1302	686
ENSMUSG00000000204	4	7	1	2	0	1	1	1	0	2	3	1	1	1	0
ENSMUSG00000000214	46	49	42	37	16	81	45	53	34	68	87	50	41	71	23
ENSMUSG00000000215	1	3	1	0	1	4	15	1	0	2	4	2	0	4	4
ENSMUSG00000000216	13	30	14	11	8	16	8	13	3	13	18	9	11	12	12
ENSMUSG00000000223	5026	5684	3405	5406	3817	3442	3743	4477	3931	5030	3872	4698	4543	5300	2974
ENSMUSG00000000244	9	8	7	14	10	13	4	5	5	13	17	4	9	12	3
ENSMUSG00000000247	4512	4790	2985	4503	3611	3174	3396	3284	3326	4631	4306	4110	3909	4754	2959
ENSMUSG00000000248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000253	3529	3703	2694	3490	2733	6436	2506	2739	2612	3692	5017	3278	3134	4161	2157
ENSMUSG00000000263	2	1	1	0	2	2	1	0	3	2	1	1	2	1	2
ENSMUSG00000000266	1351	1385	804	1275	812	414	940	1106	900	1437	646	1051	1162	1143	803
ENSMUSG00000000275	468	606	350	479	397	468	413	451	359	491	464	419	440	558	292
ENSMUSG00000000276	5356	5931	3445	5310	4077	2403	3969	4292	3974	5377	3641	4413	4694	5049	3088
ENSMUSG00000000278	718	907	527	869	624	727	585	676	514	810	908	745	701	853	502
ENSMUSG00000000282	3374	3288	2286	3010	2411	2247	2273	2377	2403	3305	2486	2943	2628	3650	1981
ENSMUSG00000000290	370	417	283	338	294	244	219	322	252	375	370	344	325	400	228
ENSMUSG00000000295	555	633	438	529	438	1339	400	461	411	579	935	543	461	662	360
ENSMUSG00000000296	1351	1545	1002	1302	1178	1500	937	1203	1022	1365	1829	1309	1241	1552	817
ENSMUSG00000000301	95	141	71	107	83	250	92	89	88	116	172	112	101	132	66
ENSMUSG00000000303	50	153	18	55	20	88	39	68	6	23	60	34	37	62	24
ENSMUSG00000000305	801	1199	520	849	561	473	631	616	612	842	618	843	799	943	464
ENSMUSG00000000308	13248	14235	9452	12157	9753	16930	8729	9609	9027	13080	16193	11530	12028	14717	7730
ENSMUSG00000000317	128	133	86	130	100	236	113	105	83	163	128	133	120	148	91
ENSMUSG00000000318	27	27	12	31	18	63	22	18	10	20	41	10	15	19	8
ENSMUSG00000000320	43	96	36	49	37	31	36	39	27	51	47	41	29	39	38
ENSMUSG00000000325	2334	2417	1750	2522	2033	2503	1841	1926	1715	2459	2447	2121	2127	2582	1456
ENSMUSG00000000326	4202	4815	3171	4242	3652	5850	3051	3445	3174	4210	5739	3964	3822	4785	2825
ENSMUSG00000000339	1459	1663	1041	1547	1241	1548	1119	1148	1140	1421	1784	1384	1182	1677	867
ENSMUSG00000000340	1141	1241	731	1144	847	550	821	959	829	1105	1002	974	1020	1147	713
ENSMUSG00000000346	6697	7435	4861	6814	5362	5995	4989	5417	4713	7066	7202	5952	5879	7258	4340
ENSMUSG00000000355	2282	2565	1751	2270	1699	3475	1662	2005	1657	2325	3141	1870	2076	2454	1440
ENSMUSG00000000359	22	32	25	26	33	64	24	28	17	31	33	23	21	34	23
ENSMUSG00000000365	42	66	39	45	34	34	57	39	41	55	46	42	37	38	29
ENSMUSG00000000374	6743	7036	4564	6955	5832	2405	5064	5608	4866	6796	4740	6203	6159	6812	4084
ENSMUSG00000000378	2650	2962	1985	2706	2223	4091	1917	2136	1944	2692	3777	2543	2523	3080	1667
ENSMUSG00000000381	5	10	11	4	2	0	8	6	8	5	1	5	4	3	3
ENSMUSG00000000384	2050	2285	1477	1966	1712	2371	1607	1687	1567	2239	2241	1950	1858	2409	1274
ENSMUSG00000000385	5	2	1	4	3	3	5	8	3	4	3	1	2	5	2
ENSMUSG00000000386	13	27	8	12	5	8	7	8	5	6	11	3	19	20	12
ENSMUSG00000000392	24	41	22	35	17	39	57	28	30	61	37	19	20	50	24
ENSMUSG00000000394	3	1	0	0	0	0	0	2	0	0	0	1	2	1	0
ENSMUSG00000000399	6239	6968	4613	6316	5182	9240	4578	5023	4583	6123	7752	5704	5728	6924	3706
ENSMUSG00000000402	181	236	126	174	179	92	137	144	143	177	131	167	179	218	136
ENSMUSG00000000409	122	174	92	124	83	221	70	90	86	115	155	108	108	167	78
ENSMUSG00000000411	5	5	3	9	3	5	3	6	6	9	4	11	9	8	3
ENSMUSG00000000416	11327	11336	7562	10769	8706	4524	8984	9950	8580	12257	7585	9645	10170	11535	7171
ENSMUSG00000000420	2530	2772	1790	2646	1951	1450	1918	2134	1852	2738	2109	2138	2278	2597	1585
ENSMUSG00000000435	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000439	1295	1472	943	1268	1109	1183	1041	1090	1026	1346	1484	1248	1238	1497	863
ENSMUSG00000000440	83	112	42	101	62	69	55	55	45	89	101	78	82	85	52
ENSMUSG00000000441	5448	6203	3870	5514	4516	4677	4129	4545	4124	5603	5357	4995	5084	5828	3392
ENSMUSG00000000486	50	44	48	56	45	113	42	35	42	54	69	36	33	65	55
ENSMUSG00000000489	1828	1848	1429	2002	1476	1979	1389	1452	1393	1959	1972	1750	1405	1917	1155
ENSMUSG00000000530	789	1052	625	718	589	1184	690	649	586	830	1111	780	725	924	488
ENSMUSG00000000531	3109	3341	2586	3162	2816	4126	2828	2769	2768	3449	4432	3347	2685	3961	2100
ENSMUSG00000000532	5533	5374	3600	5385	4443	927	3997	4656	4057	5250	2730	4811	4778	5350	3184
ENSMUSG00000000538	19881	20797	13718	20303	16158	17418	14273	16094	14489	20502	17239	18166	17785	21340	12360
ENSMUSG00000000544	0	0	0	0	0	2	0	1	0	0	0	1	0	1	2
ENSMUSG00000000552	3126	3282	2321	3018	2293	4641	2357	2221	2169	3199	3761	2830	2720	3600	2126
ENSMUSG00000000555	166	216	134	171	116	189	159	126	91	152	209	176	146	194	97
ENSMUSG00000000560	3007	2859	1637	2872	2049	503	2003	2350	1958	2761	1769	2194	2596	2541	1636
ENSMUSG00000000561	3128	3466	2210	3101	2392	3005	2397	2636	2224	3305	3162	2721	2840	3264	1899
ENSMUSG00000000562	46	52	48	68	44	71	35	49	41	45	63	51	37	55	34
ENSMUSG00000000563	10674	11831	7769	10604	8123	14382	7455	8627	7483	10637	15546	9517	9476	12045	6377
ENSMUSG00000000567	1872	1730	1375	1842	1464	1620	1382	1423	1345	2079	1659	1768	1586	1792	1300
ENSMUSG00000000568	6376	6830	4173	5840	4432	4292	4571	5123	4316	6283	5318	5158	5321	6019	3454
ENSMUSG00000000579	1	2	0	1	0	0	0	0	0	1	0	0	0	0	1
ENSMUSG00000000581	2041	1925	1326	1729	1215	2096	1422	1393	1191	2423	2432	1363	1621	1951	1390
ENSMUSG00000000594	3754	4678	2924	4076	3317	4675	3212	3335	2873	4027	4869	3759	3432	4497	2483
ENSMUSG00000000600	2306	2448	1502	2402	1704	965	1759	1940	1564	2401	1664	1992	2022	2262	1509
ENSMUSG00000000605	12466	13091	8247	12945	9534	8845	8891	9928	9157	12742	11543	10822	11179	12590	7071
ENSMUSG00000000606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000617	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0
ENSMUSG00000000627	3755	4077	2745	3610	3223	3878	2847	3122	2866	3889	3915	3327	3320	4004	2322
ENSMUSG00000000628	403	444	289	431	406	317	347	374	296	410	333	382	399	474	234
ENSMUSG00000000631	12010	12690	7814	12717	10021	9587	8654	9745	8364	11751	10871	10816	10376	12507	6846
ENSMUSG00000000632	17079	17142	12104	16339	12124	11391	11794	11595	12124	17325	14020	15989	14313	17877	10373
ENSMUSG00000000673	12	20	5	11	11	20	17	3	8	23	11	12	11	7	7
ENSMUSG00000000682	43	64	31	70	50	108	29	45	22	39	108	62	46	40	25
ENSMUSG00000000686	14	23	17	21	10	13	13	24	17	27	9	18	20	20	10
ENSMUSG00000000690	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000000693	334	363	251	311	254	320	241	277	227	340	359	326	294	339	191
ENSMUSG00000000701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000706	5	3	7	2	2	4	2	2	1	3	2	3	3	5	2
ENSMUSG00000000708	1117	1258	731	1290	850	559	861	1048	786	1200	791	1009	1029	1138	739
ENSMUSG00000000711	8227	8519	5447	8136	6498	4655	5970	6233	6011	7715	6685	7088	7053	8197	4695
ENSMUSG00000000724	4	7	3	1	0	7	2	3	2	4	5	3	1	4	0
ENSMUSG00000000730	16	17	10	15	17	31	8	10	17	16	35	21	23	17	9
ENSMUSG00000000731	43	36	26	45	40	33	30	27	45	40	17	47	31	55	30
ENSMUSG00000000732	862	902	677	849	711	886	680	809	671	936	856	901	808	977	567
ENSMUSG00000000738	3568	3897	2601	3637	2927	5320	2754	2889	2799	3812	4584	3375	3201	4072	2249
ENSMUSG00000000739	91	100	84	89	68	194	83	84	68	89	136	100	80	130	62
ENSMUSG00000000740	1015	1206	774	987	886	2377	768	844	713	1271	1669	903	948	1235	713
ENSMUSG00000000743	6868	7603	5094	6882	5629	9579	5397	5499	5037	7221	8874	6258	6237	7839	4437
