gene	HC1	HC2	HC3	HC4	HC5	HC6	OLM1	OLM2	OLM3	OLM4	OLM5	OLM6
ENSMUSG00000000001	1115	1004	1054	1063	1202	954	1100	1172	1130	1092	1118	961
ENSMUSG00000000003	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	74	85	61	64	59	73	75	78	65	51	53	54
ENSMUSG00000000031	22	8	9	5	6	5	2	6	4	12	5	8
ENSMUSG00000000037	28	16	27	21	19	19	22	20	28	20	30	26
ENSMUSG00000000049	15	13	11	8	19	9	10	12	13	13	12	14
ENSMUSG00000000056	1900	1705	1503	1771	1663	1442	1745	1972	1698	1640	1766	1491
ENSMUSG00000000058	658	519	601	671	732	583	827	607	515	799	595	536
ENSMUSG00000000078	1131	1047	997	1248	1155	996	1482	1306	1152	1527	1129	1014
ENSMUSG00000000085	1877	1848	1697	1798	1696	1754	1735	1974	1614	1621	1649	1478
ENSMUSG00000000088	1851	1639	1771	1823	1849	1804	1782	1979	1604	1868	1786	1571
ENSMUSG00000000093	72	73	75	107	104	100	84	67	79	99	77	58
ENSMUSG00000000094	17	9	10	12	9	12	15	15	11	6	6	4
ENSMUSG00000000103	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120	40	45	54	77	144	37	62	78	75	86	37	48
ENSMUSG00000000125	81	75	98	105	136	95	98	101	121	93	84	107
ENSMUSG00000000126	328	387	384	287	431	517	300	413	276	266	317	244
ENSMUSG00000000127	1011	934	931	956	918	870	812	1065	831	906	983	705
ENSMUSG00000000131	4187	3989	3811	3685	3791	3802	3529	4430	3613	3352	3724	2895
ENSMUSG00000000134	1700	1574	1641	1537	1492	1458	1619	1940	1517	1531	1565	1285
ENSMUSG00000000142	865	876	918	863	918	770	1024	1153	921	936	890	751
ENSMUSG00000000148	589	545	592	612	569	547	580	732	561	603	639	562
ENSMUSG00000000149	5203	3848	4983	5172	5617	4777	4746	6134	4938	4702	4694	4737
ENSMUSG00000000154	10	5	5	4	8	4	10	9	8	7	12	8
ENSMUSG00000000157	0	0	0	0	1	0	1	0	1	0	0	1
ENSMUSG00000000159	8	11	7	16	15	12	13	11	14	13	7	7
ENSMUSG00000000167	52	34	71	49	74	32	29	41	57	41	41	32
ENSMUSG00000000168	4599	4558	4153	4359	4322	4130	3887	4610	3991	4072	4156	3285
ENSMUSG00000000171	1844	1572	1616	1663	1680	1521	1731	1837	1502	1520	1590	1382
ENSMUSG00000000182	1	10	5	2	4	2	8	2	6	8	5	3
ENSMUSG00000000183	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000184	4015	3891	3339	3672	3150	2919	3563	4272	4046	3814	3966	3020
ENSMUSG00000000194	1809	1774	1650	1627	1734	1615	1702	1975	1631	1680	1555	1350
ENSMUSG00000000197	5337	4855	4994	4644	4985	4258	4897	5258	4389	5472	4271	3358
ENSMUSG00000000202	510	489	537	549	563	540	519	674	481	433	534	475
ENSMUSG00000000204	0	1	0	1	0	1	0	0	0	0	0	1
ENSMUSG00000000214	19	13	15	8	29	19	31	12	15	22	17	21
ENSMUSG00000000215	0	0	0	0	9	0	0	1	2	0	0	2
ENSMUSG00000000216	5	6	8	9	11	7	6	10	9	10	4	14
ENSMUSG00000000223	3186	2888	2914	3043	2738	2814	3092	3411	2656	2839	2974	2368
ENSMUSG00000000244	2	2	0	3	6	1	1	2	4	2	1	3
ENSMUSG00000000247	3515	3449	3227	3340	3084	3420	3525	3946	2867	3299	3160	2688
ENSMUSG00000000248	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000000253	1961	1742	1795	1689	1773	1840	1669	1930	1614	1527	1810	1526
ENSMUSG00000000263	8	2	0	0	4	0	2	2	5	10	1	1
ENSMUSG00000000266	1158	1025	1093	1070	1196	977	1153	1300	1113	1227	1013	818
ENSMUSG00000000275	245	198	235	260	273	209	262	237	242	310	233	213
ENSMUSG00000000276	3933	3588	3411	3208	3170	3062	3177	3801	2966	3219	3145	2505
ENSMUSG00000000278	287	270	267	310	273	274	319	328	318	369	318	276
ENSMUSG00000000282	2028	2122	1994	1791	1825	1885	2020	2501	1820	2179	1989	1556
ENSMUSG00000000290	255	231	208	254	171	192	253	253	200	217	231	224
ENSMUSG00000000295	261	252	247	247	247	228	230	275	227	228	216	189
ENSMUSG00000000296	763	821	756	794	789	609	764	867	734	789	674	607
ENSMUSG00000000301	37	50	43	57	47	47	47	56	39	52	57	49
ENSMUSG00000000303	17	13	59	19	47	17	66	15	9	77	88	14
ENSMUSG00000000305	495	511	469	546	569	502	546	511	488	605	445	450
ENSMUSG00000000308	7165	6405	6475	6564	6325	6039	6811	7311	6542	8099	6032	5519
ENSMUSG00000000317	80	62	100	87	91	78	95	113	81	88	99	75
ENSMUSG00000000318	16	5	5	14	9	4	14	7	7	20	8	3
ENSMUSG00000000320	33	39	25	34	38	18	29	40	34	22	25	31
ENSMUSG00000000325	1376	1110	1161	1188	1079	1137	1137	1353	1030	1060	1181	956
ENSMUSG00000000326	2987	2480	2506	2677	2241	2290	2810	3429	2529	2605	2682	2457
ENSMUSG00000000339	858	867	821	789	851	793	793	925	770	757	791	674
ENSMUSG00000000340	900	806	887	937	974	776	886	946	860	890	945	815
