ensemblID	Young1	Young2	Young3	Young4	Young5	Old1	Old2	Old3	Old4	Old5	Old6
ENSMUSG00000023943	8.55	12.51	3.68	12.24	20.49	75.18	79.59	79.11	72.56	71.18	79.73
ENSMUSG00000068129	2.33	4.47	0.61	0.00	2.56	24.65	28.70	16.89	25.75	20.48	18.54
ENSMUSG00000079293	7.00	10.72	6.74	10.49	13.66	75.18	73.06	52.44	78.41	35.10	40.79
ENSMUSG00000073418	505.50	795.91	528.19	359.32	591.71	2586.91	2688.98	2537.67	2731.37	2279.82	2403.03
ENSMUSG00000040170	11.67	28.58	9.80	13.99	15.37	82.57	96.55	73.77	80.75	87.76	57.48
ENSMUSG00000025479	5.44	8.04	3.06	5.25	3.42	20.95	31.31	29.33	26.92	18.53	46.35
ENSMUSG00000024164	39.66	86.65	25.12	69.07	70.87	218.14	240.06	249.77	215.33	220.38	248.46
ENSMUSG00000037708	22.55	15.19	21.45	21.86	17.93	61.62	78.28	79.11	74.90	79.96	64.90
ENSMUSG00000050063	25.66	20.55	15.32	66.44	24.76	160.22	234.85	142.22	159.15	89.71	242.90
ENSMUSG00000030577	1.56	5.36	5.51	3.50	3.42	23.42	23.48	13.33	22.23	18.53	16.69
ENSMUSG00000030789	3.89	10.72	6.13	2.62	6.83	29.58	35.23	20.44	31.60	19.50	18.54
ENSMUSG00000004707	3.89	11.61	1.84	3.50	5.12	35.74	33.92	16.00	28.09	17.55	20.40
ENSMUSG00000034855	3.89	6.25	4.29	5.25	4.27	25.88	54.80	16.89	28.09	8.78	18.54
ENSMUSG00000057596	26.44	26.80	21.45	19.23	25.62	71.48	104.38	64.89	67.87	60.46	70.46
ENSMUSG00000066477	12.44	7.15	7.35	6.12	16.22	32.04	39.14	36.44	31.60	32.18	20.40
ENSMUSG00000027376	13.22	8.93	7.35	14.86	11.95	22.18	53.49	30.22	23.41	58.51	55.63
ENSMUSG00000076609	7.78	8.04	4.29	6.99	7.68	27.11	78.28	9.78	11.70	42.91	46.35
ENSMUSG00000030921	35.00	50.92	23.90	41.09	39.28	122.01	134.38	94.22	106.49	95.56	72.31
ENSMUSG00000074896	55.99	83.07	60.66	67.32	45.25	167.61	332.70	107.55	180.22	161.87	140.92
ENSMUSG00000023122	22.55	29.48	15.32	41.96	69.16	109.69	114.81	104.00	100.64	122.86	87.15
ENSMUSG00000033383	3.89	3.57	11.64	8.74	3.42	27.11	22.18	16.00	25.75	26.33	11.13
ENSMUSG00000062488	19.44	38.41	25.12	42.84	24.76	85.04	148.74	64.00	77.24	61.43	79.73
ENSMUSG00000002831	38.11	38.41	37.99	76.06	37.57	102.29	113.51	119.99	124.05	129.69	107.54
ENSMUSG00000030107	16.33	22.33	6.74	12.24	10.25	41.90	120.03	20.44	57.34	32.18	29.67
ENSMUSG00000048489	5.44	8.04	10.42	9.62	11.10	36.97	26.09	16.89	37.45	17.55	16.69
ENSMUSG00000069516	118.99	317.11	164.83	134.63	135.76	480.65	487.96	312.88	480.97	401.75	433.88
ENSMUSG00000032690	7.00	10.72	6.74	1.75	5.12	18.49	32.62	13.33	22.23	13.65	12.98
ENSMUSG00000079017	13.22	11.61	15.93	15.74	11.95	35.74	110.90	16.00	38.62	45.83	16.69
ENSMUSG00000002847	14.78	10.72	15.93	9.62	9.39	23.42	31.31	24.89	31.60	35.10	33.38
ENSMUSG00000074060	24.11	18.76	12.26	18.36	19.64	39.44	44.36	49.78	45.64	34.13	40.79
ENSMUSG00000029826	169.54	168.83	138.48	155.62	158.81	340.16	344.44	362.65	332.35	326.66	285.55
ENSMUSG00000047735	70.77	86.65	85.17	85.68	70.01	187.33	234.85	127.11	177.88	157.97	153.90
ENSMUSG00000015340	11.67	52.70	12.87	18.36	13.66	65.32	58.71	54.22	58.51	40.95	63.04
ENSMUSG00000034459	35.77	78.61	27.57	56.83	37.57	141.73	339.22	72.89	154.47	82.88	90.86
ENSMUSG00000035352	8.55	8.04	4.29	6.12	4.27	17.25	16.96	13.33	22.23	7.80	22.25
ENSMUSG00000004328	53.66	80.39	63.73	68.19	42.69	154.06	101.77	133.33	156.81	117.99	124.23
ENSMUSG00000049436	18.66	25.01	17.77	27.10	23.05	41.90	49.58	50.66	35.11	56.56	53.77
ENSMUSG00000051242	277.64	233.15	260.42	207.20	269.81	510.23	514.05	543.98	482.14	526.56	480.24
ENSMUSG00000051599	92.55	87.54	89.46	59.45	81.11	172.54	189.18	188.44	167.35	157.97	139.06
ENSMUSG00000043013	10.89	11.61	4.29	7.87	13.66	22.18	26.09	24.89	21.06	28.28	11.13
ENSMUSG00000047996	52.88	67.00	57.60	69.07	157.11	223.07	229.63	191.10	173.20	124.81	148.34
ENSMUSG00000041828	227.86	332.30	292.28	238.67	268.11	511.47	555.80	557.31	518.42	552.89	589.63
ENSMUSG00000037466	24.11	24.12	26.35	32.35	18.78	255.12	28.70	19.55	183.73	272.06	35.23
ENSMUSG00000021070	7.78	3.57	5.51	6.12	5.12	12.32	11.74	10.67	16.38	13.65	22.25
ENSMUSG00000043943	22.55	34.84	33.09	27.10	40.13	56.69	74.37	64.89	55.00	82.88	59.33
ENSMUSG00000021098	39.66	50.92	21.45	39.34	66.60	104.76	97.85	196.44	70.22	61.43	81.58
ENSMUSG00000095995	3.11	10.72	6.13	19.23	5.12	55.46	14.35	24.00	33.94	16.58	12.98
ENSMUSG00000038007	55.22	74.14	92.53	125.89	56.35	186.10	160.48	183.10	196.60	174.55	114.96
ENSMUSG00000004231	8.55	5.36	8.58	6.99	5.98	22.18	11.74	14.22	21.06	21.45	9.27
ENSMUSG00000067780	14.00	20.55	24.51	15.74	23.91	43.14	52.19	41.78	32.77	40.95	40.79
ENSMUSG00000036594	53.66	102.73	37.38	40.22	45.25	140.50	113.51	89.77	133.41	135.54	105.69
ENSMUSG00000029561	62.99	88.43	61.28	69.94	54.65	158.99	262.24	90.66	175.54	121.89	77.88
ENSMUSG00000022548	2459.07	3164.88	2409.34	3270.56	2708.38	5852.90	6228.63	4627.35	6071.27	4995.52	5367.88
ENSMUSG00000048752	5.44	4.47	10.42	5.25	9.39	16.02	11.74	14.22	21.06	15.60	22.25
ENSMUSG00000035004	14.00	33.05	12.26	13.99	11.10	50.53	31.31	40.00	38.62	22.43	42.65
ENSMUSG00000084616	2.33	10.72	4.29	6.99	6.83	20.95	18.27	21.33	16.38	7.80	7.42
ENSMUSG00000025488	66.10	50.02	33.70	59.45	76.85	108.46	167.00	76.44	108.83	123.84	122.38
ENSMUSG00000084911	52.11	67.00	37.99	61.20	100.75	133.10	148.74	224.88	104.15	89.71	111.25
ENSMUSG00000024210	10.11	4.47	10.42	7.87	17.08	22.18	15.66	21.33	26.92	20.48	27.81
ENSMUSG00000006179	14.78	5.36	6.74	6.99	4.27	13.56	18.27	16.00	12.87	23.40	24.10
ENSMUSG00000068699	90.99	81.29	96.81	90.92	79.41	181.17	177.44	133.33	188.41	174.55	170.59
ENSMUSG00000025270	67.66	120.59	69.85	88.30	99.05	168.85	694.10	135.99	235.22	159.92	111.25
ENSMUSG00000071068	3.11	7.15	6.13	10.49	5.98	17.25	20.88	12.44	15.21	10.73	14.83
ENSMUSG00000038642	824.36	1140.71	959.57	1043.85	1059.62	2133.37	2050.99	1892.36	2014.01	1657.70	1741.09
ENSMUSG00000063458	7.00	10.72	6.13	7.87	7.68	18.49	9.13	17.78	18.72	21.45	16.69
ENSMUSG00000033355	28.00	38.41	31.86	23.60	36.72	73.95	112.20	40.89	63.19	56.56	50.06
ENSMUSG00000076617	228.64	340.34	174.63	347.95	223.71	504.07	541.45	485.31	493.85	537.29	509.90
ENSMUSG00000079507	3.89	6.25	12.26	4.37	1.71	14.79	13.05	2.67	19.89	34.13	25.96
ENSMUSG00000071203	13.22	18.76	10.42	10.49	17.93	22.18	32.62	32.89	26.92	22.43	38.94
ENSMUSG00000038147	38.88	58.06	52.70	45.46	57.21	114.62	103.07	90.66	91.28	84.84	98.27
ENSMUSG00000039899	35.00	84.86	47.18	40.22	37.57	141.73	118.73	59.55	120.54	113.11	61.19
ENSMUSG00000021390	126.76	233.15	169.73	152.99	251.03	391.92	417.50	223.10	379.16	467.08	318.92
ENSMUSG00000018927	23.33	25.91	24.51	20.11	27.32	49.30	44.36	52.44	50.32	53.63	25.96
ENSMUSG00000037921	11.67	17.87	17.16	17.48	19.64	41.90	35.23	28.44	39.79	25.35	29.67
ENSMUSG00000046718	98.77	123.27	77.21	93.54	111.85	176.24	380.97	123.55	188.41	156.02	185.42
ENSMUSG00000033880	507.83	619.04	391.55	581.38	663.43	1005.68	1689.58	734.19	1043.87	1068.73	825.11
ENSMUSG00000063804	22.55	9.83	10.42	29.72	23.91	44.37	27.40	66.66	39.79	35.10	27.81
ENSMUSG00000087182	8.55	9.83	4.29	13.11	4.27	18.49	20.88	16.00	18.72	16.58	9.27
ENSMUSG00000063234	25.66	19.65	9.19	10.49	9.39	23.42	49.58	26.67	24.58	27.30	37.08
ENSMUSG00000022014	10.89	15.19	11.03	7.87	15.37	27.11	28.70	22.22	23.41	16.58	27.81
ENSMUSG00000034810	74.66	107.19	102.33	71.69	99.05	154.06	151.34	191.10	134.58	207.70	165.02
ENSMUSG00000042190	58.33	58.06	56.37	43.71	42.69	107.22	97.85	81.77	101.81	82.88	109.40
ENSMUSG00000060586	33.44	93.79	39.22	41.09	40.98	135.57	65.23	62.22	122.88	128.72	87.15
ENSMUSG00000026303	31.89	41.98	36.77	38.47	31.59	57.93	84.81	66.66	63.19	69.23	55.63
ENSMUSG00000024810	1085.66	1088.90	931.38	1084.07	1313.21	2016.29	1993.58	2024.80	2003.47	1762.03	1967.30
ENSMUSG00000086509	14.00	8.04	6.13	9.62	8.54	18.49	19.57	13.33	21.06	16.58	25.96
ENSMUSG00000091509	24.89	26.80	23.90	31.47	47.82	62.85	65.23	84.44	50.32	38.03	51.92
ENSMUSG00000048368	6.22	12.51	14.71	6.99	9.39	22.18	23.48	7.11	12.87	41.93	31.52
ENSMUSG00000033777	38.11	67.00	33.70	52.45	57.21	89.97	97.85	95.11	78.41	78.01	103.83
ENSMUSG00000097340	35.00	41.09	27.57	35.84	59.77	75.18	83.50	97.77	59.68	60.46	63.04
ENSMUSG00000046805	520.28	660.13	565.57	595.36	626.72	1094.41	1067.24	1014.18	1089.51	896.13	1082.85
ENSMUSG00000034923	8.55	6.25	4.90	16.61	10.25	17.25	23.48	20.44	19.89	11.70	20.40
ENSMUSG00000078945	21.00	33.94	18.38	20.98	20.49	36.97	45.66	48.89	35.11	40.95	40.79
ENSMUSG00000069919	157.87	241.18	151.96	183.59	192.97	281.00	1150.74	221.32	429.48	343.24	187.27
ENSMUSG00000022146	107.32	130.42	128.68	88.30	113.56	205.82	189.18	235.55	196.60	192.10	172.44
ENSMUSG00000025498	32.66	57.17	28.80	34.97	32.45	76.41	140.91	38.22	83.09	51.68	50.06
ENSMUSG00000001020	13.22	20.55	21.45	21.86	15.37	29.58	48.27	28.44	44.47	33.15	22.25
ENSMUSG00000027399	3.89	8.93	9.80	9.62	11.95	23.42	24.79	17.78	18.72	11.70	9.27
ENSMUSG00000051678	43.55	33.94	47.79	35.84	55.50	86.27	56.10	88.00	87.77	95.56	50.06
ENSMUSG00000044726	18.66	25.01	25.12	10.49	25.62	33.28	33.92	54.22	26.92	39.00	50.06
ENSMUSG00000031995	8.55	12.51	12.87	8.74	14.52	29.58	28.70	13.33	24.58	12.68	29.67
ENSMUSG00000092274	1605.16	1506.96	895.84	1483.60	1319.18	2371.23	2525.90	2926.09	2204.76	1908.30	2380.78
ENSMUSG00000047759	7.00	14.29	11.64	13.11	8.54	14.79	31.31	20.44	17.55	22.43	18.54
ENSMUSG00000018920	21.00	39.30	33.70	27.10	27.32	55.46	43.06	45.33	67.87	57.53	50.06
ENSMUSG00000052305	507.06	1106.77	712.02	889.99	780.41	1313.79	5619.33	971.51	1902.83	1295.93	778.76
ENSMUSG00000032092	25.66	41.09	38.60	27.10	20.49	65.32	66.54	16.00	55.00	101.41	66.75
ENSMUSG00000082361	9.33	7.15	11.03	13.11	11.10	18.49	16.96	24.89	18.72	13.65	27.81
ENSMUSG00000071083	0.00	10.72	9.19	7.87	16.22	20.95	19.57	16.89	16.38	18.53	22.25
ENSMUSG00000022575	35.77	31.26	31.25	31.47	18.78	51.76	44.36	50.66	58.51	56.56	53.77
ENSMUSG00000059887	6.22	2.68	1.84	12.24	11.10	14.79	13.05	12.44	12.87	20.48	12.98
ENSMUSG00000019936	25.66	22.33	34.93	27.98	30.74	56.69	65.23	54.22	44.47	38.03	46.35
ENSMUSG00000060843	19.44	24.12	29.41	27.98	39.28	45.60	53.49	45.33	50.32	44.86	63.04
ENSMUSG00000036446	66.10	97.37	80.88	53.33	88.80	129.41	185.27	87.11	120.54	158.94	146.48
ENSMUSG00000069917	88.66	169.72	107.23	134.63	134.05	195.96	840.23	167.10	282.03	215.50	111.25
ENSMUSG00000031112	100.32	107.19	104.78	97.92	146.01	235.40	212.67	239.10	181.39	146.27	144.63
ENSMUSG00000038304	4.67	7.15	5.51	8.74	14.52	22.18	13.05	13.33	19.89	13.65	12.98
ENSMUSG00000093226	15.55	19.65	11.64	12.24	17.08	32.04	10.44	53.33	28.09	19.50	35.23
ENSMUSG00000029371	22.55	21.44	2.45	11.37	36.72	48.07	43.06	40.89	46.81	30.23	31.52
ENSMUSG00000051455	7.78	20.55	10.42	7.87	20.49	35.74	24.79	32.89	26.92	15.60	18.54
ENSMUSG00000008845	31.11	21.44	24.51	14.86	17.08	45.60	33.92	22.22	42.13	51.68	48.21
ENSMUSG00000097415	17.11	21.44	9.19	8.74	9.39	28.35	31.31	30.22	17.55	18.53	22.25
ENSMUSG00000022766	48.22	44.66	71.69	50.71	48.67	78.88	96.55	60.44	94.79	124.81	105.69
ENSMUSG00000037411	14.78	6.25	12.87	10.49	15.37	24.65	32.62	13.33	22.23	19.50	25.96
ENSMUSG00000012819	29.55	30.37	26.35	26.23	23.91	44.37	45.66	45.33	39.79	49.73	63.04
ENSMUSG00000040751	31.11	26.80	31.25	24.48	30.74	48.07	48.27	43.55	55.00	50.71	57.48
ENSMUSG00000034457	7.00	6.25	6.13	14.86	8.54	14.79	18.27	20.44	10.53	18.53	12.98
ENSMUSG00000073940	90.21	226.00	137.87	175.72	174.18	257.58	1058.11	167.99	413.10	309.11	127.94
ENSMUSG00000039891	35.77	53.60	42.28	49.83	51.23	77.64	78.28	82.66	74.90	81.91	72.31
ENSMUSG00000038064	21.00	24.12	16.54	23.60	23.91	34.51	41.75	43.55	33.94	35.10	35.23
ENSMUSG00000029994	87.88	111.66	77.82	88.30	117.83	170.08	208.75	129.77	170.86	147.24	157.61
ENSMUSG00000022952	14.78	26.80	21.45	18.36	17.08	39.44	33.92	28.44	39.79	33.15	33.38
ENSMUSG00000039236	16.33	15.19	9.19	13.99	11.10	22.18	57.41	14.22	31.60	18.53	12.98
ENSMUSG00000038550	105.77	114.34	96.81	106.66	88.80	186.10	182.66	166.21	189.58	141.39	163.17
ENSMUSG00000025355	18.66	24.12	14.71	19.23	24.76	35.74	36.53	23.11	35.11	37.05	50.06
ENSMUSG00000045876	45.88	47.34	55.15	62.07	38.42	92.43	87.41	86.22	72.56	92.64	72.31
ENSMUSG00000024610	108.88	303.71	98.65	99.66	99.05	361.11	242.67	172.44	334.69	281.81	255.88
ENSMUSG00000069892	12.44	8.04	11.64	12.24	17.08	24.65	26.09	17.78	21.06	18.53	27.81
ENSMUSG00000060802	1025.78	1654.35	982.24	1230.07	1268.81	2601.70	2508.93	1775.03	2263.27	1608.94	1752.21
ENSMUSG00000048373	9.33	11.61	12.87	8.74	9.39	27.11	18.27	4.44	26.92	35.10	14.83
ENSMUSG00000038732	59.10	53.60	42.28	66.44	46.11	86.27	83.50	88.88	84.26	96.54	96.42
